iter	RMSE
0	0.978966525
1	0.9600376674
2	0.9383128149
3	0.9184855581
4	0.9004374066
5	0.8835659974
6	0.8664635953
7	0.8503843889
8	0.8347714137
9	0.8186866254
10	0.8031518215
11	0.7874328451
12	0.7734053855
13	0.7589591212
14	0.7471356289
15	0.7330409251
16	0.7208569733
17	0.7072782776
18	0.6948085331
19	0.6841398069
20	0.673432616
21	0.6627044683
22	0.6525253457
23	0.6425160994
24	0.6326725962
25	0.6235737143
26	0.614330639
27	0.6059292438
28	0.5973578447
29	0.589936869
30	0.5817533454
31	0.5740994182
32	0.5659222978
33	0.5583641329
34	0.5517334719
35	0.5459932315
36	0.5387478909
37	0.5320481866
38	0.5256449322
39	0.519143172
40	0.5136983557
41	0.5079733795
42	0.5021176207
43	0.4974336591
44	0.491783371
45	0.4869382239
46	0.4815131478
47	0.4765197477
48	0.4715716038
49	0.4678315189
50	0.4633865011
51	0.4585878738
52	0.4542806655
53	0.450083249
54	0.446712961
55	0.4438548626
56	0.4403913903
57	0.4365125238
58	0.4330272692
59	0.4293073192
60	0.4261576539
61	0.423619681
62	0.4199125836
63	0.4172118927
64	0.4144641981
65	0.4116177437
66	0.4089569723
67	0.4079403196
68	0.4053383233
69	0.4028166476
70	0.3999221368
71	0.397292662
72	0.3946570966
73	0.3924466845
74	0.3906355889
75	0.3885888986
76	0.3863438182
77	0.3841114319
78	0.3821008522
79	0.3802048204
80	0.3783026719
81	0.3763000299
82	0.3744831111
83	0.3726671177
84	0.3701856611
85	0.3681108059
86	0.3664352972
87	0.364583699
88	0.3631133341
89	0.3616239819
90	0.3601707232
91	0.3589127224
92	0.3573266788
93	0.3561464423
94	0.354660067
95	0.3533433396
96	0.3521973079
97	0.3515213577
98	0.3499445668
99	0.3487578352
100	0.3476582052
101	0.346597119
102	0.345097624
103	0.343590615
104	0.3426210461
105	0.3418799122
106	0.3408858942
107	0.3393345417
108	0.3381628979
109	0.337008458
110	0.3361636147
111	0.335061021
112	0.3343847388
113	0.333826455
114	0.3329106513
115	0.3318238155
116	0.3311194404
117	0.3303082064
118	0.3295899424
119	0.3285991022
120	0.3276153845
121	0.326759191
122	0.3258255371
123	0.3249733018
124	0.3241497686
125	0.3233283135
126	0.3226691789
127	0.3216312136
128	0.3209802709
129	0.3204186275
130	0.3197444774
131	0.3192951017
132	0.31848654
133	0.3176941073
134	0.3170068154
135	0.3163804225
136	0.3157623647
137	0.3149876211
138	0.3141878255
139	0.3135509386
140	0.312788976
141	0.3119583587
142	0.3113064055
143	0.3107315646
144	0.310213492
145	0.3097385675
146	0.3088726215
147	0.3082385146
148	0.3079097188
149	0.3071474979
150	0.306645624
151	0.306177922
152	0.3054667013
153	0.3049734575
154	0.3047769849
155	0.3043359405
156	0.3037896398
157	0.3033225996
158	0.3026167265
159	0.302321791
160	0.3018840026
161	0.3017083479
162	0.3012498657
163	0.3008993235
164	0.3003735606
165	0.2999190557
166	0.2991558032
167	0.2984619239
168	0.2977604226
169	0.2973103198
170	0.297086038
171	0.2967700136
172	0.2965586838
173	0.2962582159
174	0.2957130325
175	0.2949239395
176	0.2944283085
177	0.2940455444
178	0.2938623113
179	0.2933104746
180	0.2922588558
181	0.2919160043
182	0.2915858169
183	0.2910405286
184	0.2907773823
185	0.2902021319
186	0.2898283225
187	0.2893958254
188	0.2891608296
189	0.2889189345
190	0.2884047938
191	0.2880783393
192	0.2878997866
193	0.2871954341
194	0.286991121
195	0.2866591314
196	0.2862231661
197	0.2859896731
198	0.2854843574
199	0.2848300117
200	0.2841718672
201	0.2838775914
202	0.2831573582
203	0.2829415742
204	0.2825293691
205	0.2819634519
206	0.2815468853
207	0.2811834354
208	0.2807778866
209	0.2805742936
210	0.2800075489
211	0.2796642891
212	0.2793503017
213	0.2790198534
214	0.2786089014
215	0.2779481116
216	0.2776900676
217	0.2773310264
218	0.276895907
219	0.2765649858
220	0.2763210846
221	0.2759034866
222	0.2754649482
223	0.2748616821
224	0.2746066216
225	0.2741264431
226	0.2736938644
227	0.2730714831
228	0.2728176592
229	0.2725722431
230	0.2721879217
231	0.2717477687
232	0.2712793343
233	0.2708864049
234	0.2704953744
235	0.2702052216
236	0.2700398265
237	0.2697950893
238	0.269733613
239	0.269013653
240	0.2688047576
241	0.2684288272
242	0.2681310417
243	0.267817699
244	0.2674963359
245	0.2673125407
246	0.2670816207
247	0.2669721693
248	0.2667013167
249	0.2665910304
250	0.2663014224
251	0.2659783625
252	0.2657332147
253	0.2653092844
254	0.2652325929
255	0.2648437853
256	0.2645266749
257	0.2641139085
258	0.2635932237
259	0.2632099298
260	0.2631443952
261	0.2626319756
262	0.2622673046
263	0.2617820312
264	0.2617026214
265	0.2615578946
266	0.2613711703
267	0.2606615086
268	0.2602369817
269	0.2600079612
270	0.2596942033
271	0.2596178985
272	0.2595105922
273	0.259367348
274	0.2591686885
275	0.2587891577
276	0.2584606047
277	0.2580943414
278	0.2574657535
279	0.2574154243
280	0.2569717528
281	0.2565966059
282	0.2562207271
283	0.255740933
284	0.2556873659
285	0.2554675781
286	0.2552068584
287	0.2548234912
288	0.2546824413
289	0.2545853272
290	0.2545253416
291	0.2544736111
292	0.2543482253
293	0.2540547342
294	0.2540035737
295	0.2537185386
296	0.2532332076
297	0.2529424087
298	0.2524557136
299	0.2523289783
300	0.2521529984
301	0.2517091
