iter	Passed	Remaining
0	12	56281
1	15	35475
2	17	26534
3	18	21698
4	36	33583
5	40	30551
6	43	28718
7	59	33920
8	61	31324
9	65	29934
10	69	29054
11	75	28577
12	93	32669
13	96	31391
14	101	30840
15	104	29833
16	106	28671
17	109	27781
18	112	27031
19	116	26543
20	118	25735
21	162	33614
22	167	33251
23	177	33637
24	182	33159
25	185	32539
26	192	32357
27	196	31935
28	201	31532
29	208	31638
30	223	32833
31	228	32509
32	290	40043
33	298	39907
34	323	41997
35	329	41592
36	331	40662
37	334	39976
38	347	40451
39	352	39936
40	357	39509
41	361	39008
42	362	38262
43	374	38533
44	378	38161
45	393	38787
46	395	38152
47	398	37558
48	399	36914
49	400	36274
50	401	35659
51	403	35101
52	406	34725
53	410	34410
54	413	34003
55	417	33675
56	419	33238
57	421	32809
58	422	32385
59	424	31982
60	426	31605
61	428	31215
62	430	30835
63	434	30662
64	436	30323
65	438	29972
66	440	29638
67	441	29245
68	442	28932
69	444	28587
70	445	28288
71	450	28200
72	456	28184
73	459	27940
74	460	27667
75	462	27390
76	464	27173
77	467	26957
78	470	26788
79	472	26566
80	474	26348
81	481	26401
82	484	26224
83	485	25994
84	487	25750
85	488	25507
86	490	25292
87	494	25216
88	496	25022
89	498	24838
90	500	24665
91	502	24473
92	503	24293
93	505	24120
94	508	24006
95	511	23852
96	512	23687
97	515	23537
98	516	23383
99	518	23210
100	520	23068
101	522	22935
102	526	22852
103	528	22716
104	529	22566
105	531	22418
106	532	22262
107	534	22104
108	536	21983
109	538	21876
110	551	22209
111	558	22257
112	561	22175
113	564	22095
114	566	21982
115	569	21889
116	577	22007
117	579	21890
118	580	21761
119	582	21651
120	584	21532
121	586	21412
122	590	21370
123	592	21261
124	594	21157
125	596	21057
126	598	20970
127	600	20876
128	604	20852
129	606	20762
130	608	20655
131	610	20559
132	612	20460
133	614	20369
134	615	20268
135	619	20234
136	621	20131
137	622	20038
138	624	19939
139	626	19844
140	627	19741
141	629	19650
142	630	19561
143	632	19469
144	634	19394
145	638	19386
146	642	19366
147	644	19285
148	646	19211
149	648	19138
150	650	19071
151	652	18984
152	654	18918
153	656	18865
154	657	18755
155	658	18673
156	660	18592
157	661	18511
158	665	18491
159	667	18422
160	668	18344
161	669	18244
162	671	18177
163	672	18095
164	673	18020
165	675	17944
166	677	17879
167	679	17821
168	681	17787
169	683	17711
170	684	17639
171	686	17578
172	687	17502
173	689	17439
174	690	17372
175	692	17307
176	693	17248
177	697	17227
178	698	17166
179	700	17109
180	702	17052
181	703	16995
182	705	16937
183	707	16881
184	709	16845
185	711	16806
186	716	16819
187	718	16783
188	722	16779
189	724	16739
190	728	16731
191	732	16721
192	734	16685
193	736	16643
194	738	16597
195	743	16619
196	748	16641
197	751	16629
198	754	16596
199	755	16543
200	757	16496
201	760	16480
202	764	16464
203	768	16463
204	771	16462
205	773	16410
206	776	16389
207	781	16411
208	787	16448
209	790	16437
210	807	16705
211	812	16718
212	815	16712
213	818	16695
214	824	16729
215	861	17386
216	884	17770
217	890	17804
218	891	17748
219	893	17692
220	894	17639
221	897	17602
222	931	18192
223	944	18345
224	949	18356
225	964	18562
226	976	18703
227	978	18657
228	982	18661
229	989	18703
230	1014	19082
231	1016	19038
232	1018	18984
233	1020	18932
234	1022	18883
235	1023	18834
236	1026	18793
237	1037	18916
238	1040	18892
239	1044	18880
240	1046	18834
241	1049	18791
242	1050	18731
243	1052	18684
244	1053	18626
245	1054	18562
246	1055	18509
247	1059	18493
248	1060	18440
249	1062	18396
250	1066	18377
251	1067	18324
252	1069	18274
253	1070	18226
254	1072	18177
255	1076	18164
256	1079	18145
257	1081	18101
258	1082	18052
259	1084	18006
260	1085	17951
261	1087	17905
262	1088	17858
263	1091	17839
264	1093	17789
265	1094	17741
266	1095	17691
267	1097	17642
268	1098	17593
269	1099	17545
270	1100	17491
271	1102	17443
272	1103	17393
273	1104	17349
274	1107	17331
275	1109	17297
276	1111	17251
277	1112	17206
278	1113	17161
279	1114	17110
280	1116	17065
281	1117	17018
282	1118	16974
283	1120	16931
284	1122	16909
285	1124	16867
286	1125	16825
287	1126	16782
288	1128	16736
289	1129	16694
290	1130	16655
291	1132	16615
292	1133	16575
293	1135	16536
294	1138	16520
295	1139	16480
296	1140	16438
297	1141	16396
298	1143	16360
299	1144	16322
300	1146	16285
301	1148	16256
302	1149	16216
303	1151	16178
304	1153	16161
305	1155	16125
306	1156	16087
307	1158	16055
308	1159	16017
309	1161	15983
310	1162	15944
311	1163	15909
312	1165	15874
313	1166	15836
314	1168	15803
315	1170	15784
316	1172	15763
317	1175	15740
318	1176	15697
319	1177	15664
320	1178	15628
321	1180	15597
322	1181	15564
323	1183	15535
324	1186	15522
325	1187	15489
326	1189	15458
327	1190	15423
328	1192	15391
329	1193	15360
330	1194	15329
331	1196	15297
332	1197	15264
333	1199	15236
334	1202	15225
335	1204	15202
336	1206	15175
337	1207	15146
338	1209	15116
339	1211	15091
340	1212	15066
341	1215	15049
342	1218	15038
343	1219	15011
344	1221	14982
345	1222	14952
346	1224	14924
347	1226	14905
348	1228	14882
349	1235	14922
350	1236	14892
351	1238	14863
352	1239	14833
353	1241	14806
354	1242	14776
355	1244	14750
356	1247	14741
357	1249	14724
358	1250	14697
359	1254	14690
360	1256	14678
361	1259	14660
362	1261	14641
363	1266	14654
364	1268	14634
365	1270	14621
366	1272	14601
367	1275	14588
368	1277	14571
369	1282	14577
370	1284	14567
371	1286	14542
372	1287	14515
373	1289	14489
374	1290	14463
375	1292	14438
376	1294	14425
377	1296	14399
378	1297	14373
379	1299	14347
380	1300	14320
381	1301	14295
382	1303	14277
383	1305	14253
384	1306	14224
385	1307	14198
386	1310	14188
387	1312	14172
388	1314	14153
389	1315	14127
390	1317	14103
391	1318	14080
392	1320	14055
393	1321	14029
394	1322	14004
395	1324	13980
396	1327	13972
397	1328	13947
398	1329	13922
399	1330	13898
400	1331	13871
401	1335	13864
402	1337	13853
403	1339	13836
404	1341	13816
405	1343	13799
406	1345	13780
407	1347	13769
408	1349	13752
409	1354	13761
410	1357	13762
411	1359	13744
412	1361	13730
413	1363	13712
414	1375	13792
415	1380	13803
416	1385	13824
417	1389	13822
418	1391	13806
419	1392	13786
420	1394	13766
421	1397	13759
422	1398	13736
423	1400	13715
424	1401	13692
